Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41
com.samsung.shealth.sleep;6261011;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
original_efficiency;mental_recovery;factor_01;factor_02;factor_03;factor_04;factor_05;factor_06;factor_07;factor_08;factor_09;factor_10;has_sleep_data;combined_id;sleep_type;data_version;physical_recovery;original_wake_up_time;movement_awakening;original_bed_time;goal_bed_time;quality;extra_data;goal_wake_up_time;sleep_cycle;efficiency;sleep_score;sleep_duration;com.samsung.health.sleep.create_sh_ver;com.samsung.health.sleep.start_time;com.samsung.health.sleep.custom;com.samsung.health.sleep.modify_sh_ver;com.samsung.health.sleep.update_time;com.samsung.health.sleep.create_time;com.samsung.health.sleep.time_offset;com.samsung.health.sleep.deviceuuid;com.samsung.health.sleep.comment;com.samsung.health.sleep.pkg_name;com.samsung.health.sleep.end_time;com.samsung.health.sleep.datauuid;
;67.0;7;20;19;3;48;408;129;2;34;0;0;;;3;48.0;;35.0;;;;10e56b25-28e8-4676-a1a9-56e1d1878223.extra_data.json;;4;88.0;66;408;;2023-03-10 02:36:00.000;;;2023-03-10 09:31:33.555;2023-03-10 09:28:35.512;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-10 09:24:00.000;10e56b25-28e8-4676-a1a9-56e1d1878223;
;61.0;24;24;6;14;103;524;115;2;78;0;0;;;3;65.0;;40.0;;;;b7a07cfe-d108-47b6-94fe-70757f1b32d5.extra_data.json;;5;80.0;68;524;;2023-03-11 02:42:00.000;;;2023-03-11 11:28:44.069;2023-03-11 11:28:26.334;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-11 11:26:00.000;b7a07cfe-d108-47b6-94fe-70757f1b32d5;
;87.0;22;36;14;3;35;438;119;0;7;0;0;;;3;59.0;;21.0;;;;b40fc673-4bcc-477e-ba7d-5307beb57885.extra_data.json;;4;92.0;86;438;;2023-03-12 04:41:00.000;;;2023-03-12 12:01:04.094;2023-03-12 12:00:47.961;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-12 11:59:00.000;b40fc673-4bcc-477e-ba7d-5307beb57885;
;54.0;24;52;1;16;46;445;77;2;21;0;0;;;3;69.0;;16.0;;;;9f797471-1b4a-4ea4-ab99-2a046ca4c024.extra_data.json;;4;89.0;72;445;;2023-03-13 03:04:00.000;;;2023-03-13 10:31:08.030;2023-03-13 10:30:51.357;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-13 10:29:00.000;9f797471-1b4a-4ea4-ab99-2a046ca4c024;
;74.0;19;19;12;1;40;166;99;0;36;0;0;6dbc27d8-f7b5-4ec9-874b-af815c4fe146;;3;36.0;;58.0;;;;627ca3d5-2029-4556-a4fb-8697ba2488a4.extra_data.json;;1;75.0;66;166;;2023-03-14 03:57:00.000;;;2023-03-14 10:41:56.056;2023-03-14 06:48:23.065;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-14 06:43:00.000;627ca3d5-2029-4556-a4fb-8697ba2488a4;
;74.0;6;6;15;1;18;187;187;0;3;0;0;6dbc27d8-f7b5-4ec9-874b-af815c4fe146;;3;23.0;;19.0;;;;ceb39451-7b73-4ce8-bd1e-c15174d3f363.extra_data.json;;1;90.0;64;187;;2023-03-14 07:33:00.000;;;2023-03-14 10:41:56.066;2023-03-14 10:41:47.157;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-14 10:40:00.000;ceb39451-7b73-4ce8-bd1e-c15174d3f363;
;57.0;10;21;3;8;25;232;59;2;17;0;0;801dcd14-23a4-4250-be28-32a692835499;;3;39.0;;23.0;;;;d143a3e0-e5ca-4db8-a7b6-2d378621060a.extra_data.json;;3;89.0;55;232;;2023-03-15 02:57:00.000;;;2023-03-15 10:41:26.231;2023-03-15 06:55:00.382;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-15 06:49:00.000;d143a3e0-e5ca-4db8-a7b6-2d378621060a;
;69.0;17;30;13;6;23;223;116;1;8;0;0;801dcd14-23a4-4250-be28-32a692835499;;3;42.0;;25.0;;;;8ba3a157-f4ea-4cc6-8f2d-b0a7daa17785.extra_data.json;;3;89.0;66;223;;2023-03-15 06:58:00.000;;;2023-03-15 10:41:26.245;2023-03-15 10:41:20.031;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-15 10:41:00.000;8ba3a157-f4ea-4cc6-8f2d-b0a7daa17785;
;58.0;27;31;24;17;61;432;167;2;31;0;0;;;3;57.0;;36.0;;;;39b980b2-f74d-4430-9f9c-eaa824d47812.extra_data.json;;5;85.0;58;432;;2023-03-16 03:18:00.000;;;2023-03-16 10:30:31.474;2023-03-16 10:30:16.778;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-16 10:30:00.000;39b980b2-f74d-4430-9f9c-eaa824d47812;
;74.0;17;44;4;11;34;454;77;1;15;0;0;;;3;64.0;;16.0;;;;4ff9ce66-f0a6-4585-b762-2b39aa88c251.extra_data.json;;5;92.0;77;454;;2023-03-17 03:22:00.000;;;2023-03-17 10:56:43.066;2023-03-17 10:56:29.403;UTC-0300;5DkUXOKlpz;;com.sec.android.app.shealth;2023-03-17 10:56:00.000;4ff9ce66-f0a6-4585-b762-2b39aa88c251;
