total_calorie,heart_rate_sample_count,location_data_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.start_time,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.distance,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.end_time,com.samsung.health.exercise.sweat_loss,temperature_2m,relative_humidity_2m,wind_speed_10m,data,hora,dataToJoin,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,physical_recovery,movement_awakening,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.end_time
1.515.255,669.0,,688960,2023-05-26 08:57:08.839,167.0,183.0,3.013,16.442.174,,1.765.343,151.225,177.0,,256.233,2023-05-26 09:08:52,295.0,"6    14.9785
Name: temperature_2m, dtype: float32","6    93.0
Name: relative_humidity_2m, dtype: float32","6    3.24
Name: wind_speed_10m, dtype: float32",2023-05-26,08:57:08,2023-05-26,63.0,25.0,58.0,3.0,12.0,33.0,437.0,129.0,2.0,14.0,0.0,65.0,13.0,5.0,92.0,71.0,0 days 00:00:00.000000437,2023-05-26 02:42:00.000,2023-05-26 09:59:00.000
1.989.512,889.0,,907740,2023-05-27 09:48:59.766,165.0,183.0,3.068,16.676.582,,2.366.609,198.91,181.0,,2.607.144,2023-05-27 10:04:09,364.0,"7    14.1285
Name: temperature_2m, dtype: float32","7    97.0
Name: relative_humidity_2m, dtype: float32","7    3.075841
Name: wind_speed_10m, dtype: float32",2023-05-27,09:48:59,2023-05-27,65.0,19.0,67.0,3.0,15.0,54.0,556.0,71.0,2.0,28.0,0.0,78.0,19.0,6.0,90.0,73.0,0 days 00:00:00.000000556,2023-05-27 02:14:00.000,2023-05-27 11:30:00.000
6.984.085,304.0,,318229,2023-05-27 10:06:28.184,161.0,182.0,2.984,16.516.408,,820.421,69.833,176.0,,25.780.838,2023-05-27 10:11:46,,"7    14.1285
Name: temperature_2m, dtype: float32","7    97.0
Name: relative_humidity_2m, dtype: float32","7    3.075841
Name: wind_speed_10m, dtype: float32",2023-05-27,10:06:28,2023-05-27,65.0,19.0,67.0,3.0,15.0,54.0,556.0,71.0,2.0,28.0,0.0,78.0,19.0,6.0,90.0,73.0,0 days 00:00:00.000000556,2023-05-27 02:14:00.000,2023-05-27 11:30:00.000
16.245.099,711.0,,734297,2023-05-29 09:07:36.676,166.0,177.0,3.137,1.625.228,128.0,1.866.187,161.854,183.0,,25.414.608,2023-05-29 09:20:19,309.0,"6    16.7785
Name: temperature_2m, dtype: float32","6    96.0
Name: relative_humidity_2m, dtype: float32","6    3.41526
Name: wind_speed_10m, dtype: float32",2023-05-29,09:07:36,2023-05-29,62.0,16.0,25.0,5.0,13.0,38.0,438.0,88.0,2.0,18.0,0.0,57.0,18.0,5.0,91.0,74.0,0 days 00:00:00.000000438,2023-05-29 02:27:00.000,2023-05-29 09:45:00.000
8.266.153,382.0,,405357,2023-06-15 08:31:55.555,159.0,173.0,2.962,15.689.873,114.0,975.281,82.585,177.0,,24.059.803,2023-06-15 08:38:44,,"6    14.7285
Name: temperature_2m, dtype: float32","6    99.0
Name: relative_humidity_2m, dtype: float32","6    3.41526
Name: wind_speed_10m, dtype: float32",2023-06-15,08:31:55,2023-06-15,36.0,84.0,92.0,23.0,19.0,53.0,468.0,211.0,3.0,30.0,0.0,82.0,29.0,3.0,88.0,66.0,0 days 00:00:00.000000468,2023-06-15 01:42:00.000,2023-06-15 09:30:00.000
6.860.807,293.0,,312559,2023-06-16 08:35:57.381,155.0,169.0,2.885,16.528.079,91.0,798.125,68.523,176.0,,2.553.518,2023-06-16 08:41:14,,"6    16.078499
Name: temperature_2m, dtype: float32","6    88.0
Name: relative_humidity_2m, dtype: float32","6    3.96
Name: wind_speed_10m, dtype: float32",2023-06-16,08:35:57,2023-06-16,57.0,36.0,79.0,14.0,13.0,62.0,457.0,146.0,2.0,42.0,0.0,73.0,32.0,4.0,86.0,69.0,0 days 00:00:00.000000457,2023-06-16 01:52:00.000,2023-06-16 09:29:00.000
28.035.852,1238.0,,1271590,2023-06-17 09:33:21.741,174.0,184.0,3.039,1.691.583,129.0,3.325.281,280.295,179.0,,26.150.577,2023-06-17 09:54:36,516.0,"7    15.7285
Name: temperature_2m, dtype: float32","7    98.0
Name: relative_humidity_2m, dtype: float32","7    3.096837
Name: wind_speed_10m, dtype: float32",2023-06-17,09:33:21,2023-06-17,76.0,55.0,55.0,7.0,9.0,95.0,537.0,155.0,1.0,54.0,0.0,78.0,32.0,5.0,82.0,74.0,0 days 00:00:00.000000537,2023-06-17 01:33:00.000,2023-06-17 10:30:00.000
13.884.387,603.0,,619930,2023-06-21 09:22:41.693,160.0,175.0,3.062,16.753.505,,1.611.178,138.805,181.0,,25.989.676,2023-06-21 09:33:03,250.0,"6    9.028501
Name: temperature_2m, dtype: float32","6    100.0
Name: relative_humidity_2m, dtype: float32","6    4.198285
Name: wind_speed_10m, dtype: float32",2023-06-21,09:22:41,2023-06-21,77.0,66.0,66.0,21.0,3.0,44.0,391.0,254.0,0.0,25.0,0.0,66.0,26.0,2.0,88.0,77.0,0 days 00:00:00.000000391,2023-06-21 03:17:00.000,2023-06-21 09:48:00.000
13.621.164,597.0,,611087,2023-06-23 09:04:54.264,166.0,177.0,2.957,16.721.024,,1.578.082,136.192,176.0,,2.582.418,2023-06-23 09:15:06,245.0,"6    8.528501
Name: temperature_2m, dtype: float32","6    98.0
Name: relative_humidity_2m, dtype: float32","6    5.483356
Name: wind_speed_10m, dtype: float32",2023-06-23,09:04:54,2023-06-23,86.0,15.0,50.0,2.0,4.0,69.0,433.0,69.0,0.0,45.0,0.0,64.0,29.0,4.0,84.0,83.0,0 days 00:00:00.000000433,2023-06-23 02:47:00.000,2023-06-23 10:00:00.000
27.484.406,1186.0,,1209646,2023-06-24 09:41:51.883,174.0,184.0,3.093,16.869.398,,3171.14,274.826,183.0,,26.215.436,2023-06-24 10:02:02,482.0,"7    8.8285
Name: temperature_2m, dtype: float32","7    96.0
Name: relative_humidity_2m, dtype: float32","7    5.483356
Name: wind_speed_10m, dtype: float32",2023-06-24,09:41:51,2023-06-24,47.0,63.0,65.0,5.0,13.0,28.0,317.0,166.0,2.0,18.0,0.0,67.0,18.0,2.0,91.0,59.0,0 days 00:00:00.000000317,2023-06-24 01:45:00.000,2023-06-24 07:02:00.000
